,HGNC,name
153,HGNC:55268,lnc-RIPOR1-1
154,HGNC:44180,ATP6V0E2-AS1
155,HGNC:55392,lnc-GRXCR1-3
156,HGNC:56042,lnc-ONECUT2-5
157,HGNC:55434,lnc-SNRPN-5
158,HGNC:40645,ATP11A-AS1
159,HGNC:33793,lnc-ATP11A-5
160,HGNC:55642,lnc-DCUN1D1-1
161,HGNC:48570,LINC00884
162,HGNC:40515,lnc-STMND1-4
163,HGNC:10561,ATXN8OS
164,HGNC:55832,lnc-RHEX-2
165,HGNC:40089,lnc-STK39-2
166,HGNC:16424,B3GALT5-AS1
167,HGNC:27449,lnc-GLB1L2-1
168,HGNC:40090,B4GALT4-AS1
169,HGNC:56070,lnc-TMEM151A-3
170,HGNC:50461,BAALC-AS1
171,HGNC:28595,BAALC-AS2
172,HGNC:16024,BACE2-IT1
173,HGNC:40008,BACH1-AS1
174,HGNC:40006,BACH1-IT1
175,HGNC:40007,BACH1-IT2
176,HGNC:16455,BACH1-IT3
177,HGNC:44342,BAIAP2-DT
178,HGNC:27946,lnc-PLCL2-3
179,HGNC:43877,BANCR
180,HGNC:50673,BARX1-DT
181,HGNC:26609,BASP1-AS1
182,HGNC:55862,lnc-MARCH7-1
183,HGNC:50700,BBOX1-AS1
184,HGNC:55360,lnc-EXOSC9-1
185,HGNC:55233,lnc-NES-2
186,HGNC:56267,lnc-NES-1
187,HGNC:40093,lnc-FNBP1L-7
188,HGNC:22170,BCAR4
189,HGNC:56376,lnc-APPBP2-4
190,HGNC:44113,BCDIN3D-AS1
191,HGNC:40095,lnc-TPX2-1
192,HGNC:55868,lnc-CYR61-3
193,HGNC:20608,BDNF-AS
194,HGNC:51114,BEAN1-AS1
195,HGNC:55819,lnc-PRPF18-3
196,HGNC:40690,lnc-GNG11-2
197,HGNC:51391,lnc-XRN2-4
198,HGNC:28425,BFSP2-AS1
199,HGNC:49033,BGLT3
200,HGNC:56147,lnc-CYP7B1-2
201,HGNC:44471,BHLHE40-AS1
202,HGNC:55475,lnc-H3F3C-4
203,HGNC:51588,BICRA-AS1
204,HGNC:56742,lnc-ZNF541-3
205,HGNC:40641,BIRC6-AS1
206,HGNC:51290,BISPR
207,HGNC:20484,BLACE
208,HGNC:55473,lnc-ACTR6-1
209,HGNC:49892,ARNTL2-AS1
210,HGNC:53612,BMF-AS1
211,HGNC:55396,lnc-PAQR3-1
212,HGNC:40096,BMP7-AS1
213,HGNC:50864,BMPR1B-DT
214,HGNC:56666,lnc-SLC19A1-7
215,HGNC:53727,BNC2-AS1
216,HGNC:35125,BOK-AS1
217,HGNC:42922,BOLA3-AS1
218,HGNC:13228,BPESC1
219,HGNC:50577,LINC01351
220,HGNC:55591,lnc-SLC26A8-1
221,HGNC:40614,lnc-WRB-2
222,HGNC:16423,lnc-WRB-2
223,HGNC:41920,BRWD1-IT1
224,HGNC:55286,lnc-POLRMT-6
225,HGNC:40102,BSN-AS1
226,HGNC:42445,BSN-DT
227,HGNC:40728,lnc-JAG1-6
228,HGNC:40959,BTBD9-AS1
229,HGNC:55211,lnc-FOXD1-7
230,HGNC:55600,lnc-C12orf74-3
231,HGNC:49452,LINC01136
232,HGNC:53145,BTG3-AS1
233,HGNC:55834,lnc-APOC3-2
234,HGNC:21223,BVES-AS1
235,HGNC:40839,lnc-CLK1-1
236,HGNC:55249,lnc-EDEM3-6
237,HGNC:41091,lnc-MTHFR-1
238,HGNC:44351,C1QTNF1-AS1
239,HGNC:40683,lnc-FBXL5-2
240,HGNC:39906,C1QTNF9-AS1
241,HGNC:27461,C1RL-AS1
242,HGNC:49464,C2-AS1
243,HGNC:54045,lnc-OAZ3-2
244,HGNC:55961,lnc-ETNK1-1
245,HGNC:55178,lnc-TGFBRAP1-1
246,HGNC:56377,lnc-USP34-7
247,HGNC:27941,lnc-USP34-1
248,HGNC:39753,C4A-AS1
249,HGNC:39752,C4B-AS1
250,HGNC:41061,lnc-NNT-2
251,HGNC:39767,C6orf47-AS1
252,HGNC:27840,C8orf34-AS1
253,HGNC:45007,C10orf71-AS1
254,HGNC:45238,RPARP-AS1
255,HGNC:56185,lnc-ASCL1-6
256,HGNC:55936,lnc-APPL2-1
257,HGNC:56680,lnc-ATMIN-4
258,HGNC:55269,lnc-MAP1LC3B-1
259,HGNC:16729,C21orf91-OT1
260,HGNC:51657,CA3-AS1
261,HGNC:55491,lnc-POP5-1
262,HGNC:55758,lnc-ZMAT5-1
263,HGNC:40119,CACNA1C-AS1
264,HGNC:40118,CACNA1C-AS2
265,HGNC:40117,CACNA1C-AS3
266,HGNC:40116,CACNA1C-AS4
267,HGNC:41312,CACNA1C-IT1
268,HGNC:41314,CACNA1C-IT3
269,HGNC:27377,CACNA1G-AS1
270,HGNC:40120,lnc-CD36-11
271,HGNC:40702,CACNA2D3-AS1
272,HGNC:55682,lnc-NCF4-2
273,HGNC:56177,lnc-NXPE2-52
274,HGNC:41248,CADM2-AS1
275,HGNC:41247,CADM2-AS2
276,HGNC:40812,CADM3-AS1
277,HGNC:42860,CAHM
278,HGNC:55863,lnc-FAM171B-1
279,HGNC:40971,lnc-TRAPPC3L-1
280,HGNC:44682,CALML3-AS1
281,HGNC:56057,lnc-ZSWIM8-1
282,HGNC:55648,lnc-KCNT1-1
283,HGNC:40856,lnc-UTS2-2
284,HGNC:40855,lnc-UTS2-3
285,HGNC:40854,lnc-DNAJC11-2
286,HGNC:53020,CAMTA1-DT
287,HGNC:41446,CAMTA1-IT1
288,HGNC:56068,lnc-SYVN1-3
289,HGNC:48839,CAPN10-DT
290,HGNC:40769,lnc-GLIPR1L1-1
291,HGNC:56266,lnc-IL7R-1
292,HGNC:51408,CARD8-AS1
293,HGNC:55361,lnc-PMM2-3
294,HGNC:33838,lnc-SLC22A5-6
295,HGNC:55102,lnc-ABHD2-1
296,HGNC:42872,CARMN
297,HGNC:51188,C9orf41-AS1
298,HGNC:22933,CASC2
299,HGNC:49076,CASC6
300,HGNC:45129,lnc-FAM84B-15
301,HGNC:48906,CASC9
302,HGNC:48939,CASC11
303,HGNC:28245,CASC15
304,HGNC:48608,CASC16
305,HGNC:43911,CASC17
306,HGNC:49463,CASC18
307,HGNC:49476,lnc-FAM84B-15
308,HGNC:49477,CASC20
309,HGNC:50627,CASC22
310,HGNC:50865,CASC23
311,HGNC:40126,CASK-AS1
312,HGNC:41080,CATIP-AS1
313,HGNC:41079,CATIP-AS2
314,HGNC:40517,lnc-NABP1-5
315,HGNC:55285,lnc-ATP5F1D-3
316,HGNC:55571,lnc-SLC26A3-1
317,HGNC:55777,CBR3-AS1
318,HGNC:43664,CBR3-AS1
319,HGNC:47044,CCAT2
320,HGNC:53019,LINC02158
321,HGNC:52262,CCDC18-AS1
322,HGNC:28416,lnc-GSDMC-34
323,HGNC:41089,CCDC39-AS1
324,HGNC:56107,LINC00882
325,HGNC:56314,lnc-PTGDR2-1
326,HGNC:55438,lnc-DGLUCY-2
327,HGNC:55505,lnc-ANKRD42-2
328,HGNC:51340,CCDC144NL-AS1
329,HGNC:44105,CCDC183-AS1
330,HGNC:55988,FLG-AS1
331,HGNC:55229,lnc-CCL18-1
332,HGNC:49398,CCND2-AS1
333,HGNC:40130,CCNT2-AS1
334,HGNC:55252,lnc-CUL2-3
335,HGNC:54398,lnc-LTF-1
336,HGNC:55263,lnc-TNFRSF21-4
337,HGNC:53029,lnc-MYLPF-1
338,HGNC:43896,CD27-AS1
339,HGNC:40133,CD44-AS1
340,HGNC:56175,lnc-SLC1A2-2
341,HGNC:55455,lnc-GDF11-1
342,HGNC:49384,CD81-AS1
343,HGNC:56287,lnc-TP53I11-6
344,HGNC:55665,lnc-TRIM45-1
345,HGNC:55765,lnc-SLC17A5-1
346,HGNC:54071,lnc-GTPBP8-2
347,HGNC:26480,lnc-RAB37-2
348,HGNC:55681,lnc-ELOVL1-1
349,HGNC:49735,CDC37L1-DT
350,HGNC:41317,CDC42-IT1
351,HGNC:56370,lnc-RMDN2-3
352,HGNC:56084,lnc-SMPD3-2
353,HGNC:55399,lnc-SETD6-7
354,HGNC:55989,lnc-SLC38A8-6
355,HGNC:56243,lnc-SLC38A8-2
356,HGNC:53088,CDH18-AS1
357,HGNC:31433,CDH23-AS1
358,HGNC:55677,LINC01494
359,HGNC:40141,lnc-VPS50-1
360,HGNC:55407,lnc-MPLKIP-1
361,HGNC:23831,CDKN2A-DT
362,HGNC:34341,CDKN2B-AS1
363,HGNC:55381,lnc-POLR3E-2
364,HGNC:14386,CDRT7
365,HGNC:14387,CDRT8
366,HGNC:40142,lnc-RPP40-2
367,HGNC:55317,lnc-CEACAM20-8
368,HGNC:25710,CEBPA-DT
369,HGNC:51226,CEBPB-AS1
370,HGNC:1841,CECR3
371,HGNC:56653,lnc-SLC38A8-4
372,HGNC:23515,CELF2-AS1
373,HGNC:44703,CELF2-AS2
374,HGNC:54157,lnc-USP6NL-8
375,HGNC:54215,lnc-RPS25-1
376,HGNC:55106,lnc-CMC2-1
377,HGNC:55563,lnc-TPPP-2
378,HGNC:27055,CEP83-DT
379,HGNC:55313,lnc-PTPN2-6
380,HGNC:40143,lnc-GDF5-1
381,HGNC:53469,CERNA3
382,HGNC:53928,lnc-LMF1-3
383,HGNC:51431,CERS3-AS1
384,HGNC:44485,CERS6-AS1
385,HGNC:41063,C3orf67-AS1
386,HGNC:55618,lnc-KCTD6-5
387,HGNC:45243,CFAP58-DT
388,HGNC:40731,lnc-RALGAPA2-2
389,HGNC:48713,C9orf135-DT
390,HGNC:49641,CCDC37-DT
391,HGNC:50444,C8orf37-AS1
392,HGNC:14437,CFLAR-AS1
393,HGNC:40144,CFTR-AS1
394,HGNC:48626,LINC01578
395,HGNC:52907,LINC02062
396,HGNC:55658,lnc-ZNF26-2
397,HGNC:55933,lnc-TNFRSF10B-1
398,HGNC:55504,lnc-TCIRG1-2
399,HGNC:40146,CHKB-DT
400,HGNC:40148,CHL1-AS1
401,HGNC:40147,CHL1-AS2
402,HGNC:52778,CHMP1B-AS1
403,HGNC:55795,lnc-KDM3A-2
404,HGNC:40149,lnc-CPVL-1
405,HGNC:1279,CHODL-AS1
406,HGNC:40150,CHRM3-AS1
407,HGNC:43725,CHRM3-AS2
408,HGNC:54059,lnc-PJVK-2
409,HGNC:43644,LINC00535
410,HGNC:28588,CIRBP-AS1
411,HGNC:49426,CISTR
412,HGNC:56053,lnc-VPS36-3
413,HGNC:48997,CKMT2-AS1
414,HGNC:55328,lnc-TSN-4
415,HGNC:54055,lnc-SELENOF-2
416,HGNC:39907,CLDN10-AS1
417,HGNC:55953,lnc-CHAF1B-2
418,HGNC:53407,CLEC12A-AS1
419,HGNC:48586,CLIP1-AS1
420,HGNC:29841,LINC02397
421,HGNC:52287,CLMAT3
422,HGNC:55523,lnc-ERICH1-19
423,HGNC:30895,CLRN1-AS1
424,HGNC:49095,CLSTN2-AS1
425,HGNC:39893,CLYBL-AS1
426,HGNC:39894,CLYBL-AS2
