gene,TCGA.A4.7287,TCGA.A4.7583,TCGA.A4.7584,TCGA.A4.7734,TCGA.A4.7828,TCGA.A4.7915,TCGA.A4.7996,TCGA.A4.7997,TCGA.A4.8098,TCGA.A4.8311,TCGA.A4.8312,TCGA.A4.8515,TCGA.A4.8517,TCGA.A4.8518,TCGA.A4.8630,TCGA.A4.A48D,TCGA.A4.A4ZT,TCGA.A4.A5DU,TCGA.A4.A5XZ,TCGA.A4.A5Y0,TCGA.A4.A6HP,TCGA.A4.A772,TCGA.AL.3468,TCGA.AL.3471,TCGA.AL.3473,TCGA.AT.A5NU,TCGA.B1.7332,TCGA.B1.A47N,TCGA.B1.A47O,TCGA.B1.A654,TCGA.B1.A655,TCGA.B1.A656,TCGA.B1.A657,TCGA.B3.3926,TCGA.B3.4103,TCGA.B3.4104,TCGA.B3.8121,TCGA.B3.A6W5,TCGA.B9.4113,TCGA.B9.4115,TCGA.B9.7268,TCGA.B9.A5W7,TCGA.B9.A5W8,TCGA.B9.A5W9,TCGA.BQ.5876,TCGA.BQ.5881,TCGA.BQ.5883,TCGA.BQ.5884,TCGA.BQ.5888,TCGA.BQ.5892,TCGA.BQ.7045,TCGA.BQ.7046,TCGA.BQ.7049,TCGA.BQ.7050,TCGA.BQ.7051,TCGA.BQ.7055,TCGA.BQ.7059,TCGA.BQ.7060,TCGA.BQ.7061,TCGA.BQ.7062,TCGA.DW.5560,TCGA.DW.5561,TCGA.DW.7834,TCGA.DW.7836,TCGA.DW.7837,TCGA.DW.7838,TCGA.DW.7839,TCGA.DW.7840,TCGA.DW.7841,TCGA.DW.7842,TCGA.DW.7963,TCGA.DZ.6132,TCGA.DZ.6133,TCGA.DZ.6134,TCGA.DZ.6135,TCGA.EV.5901,TCGA.EV.5902,TCGA.EV.5903,TCGA.F9.A7VF,TCGA.G7.6790,TCGA.G7.6792,TCGA.G7.6795,TCGA.G7.6796,TCGA.G7.7502,TCGA.G7.A4TM,TCGA.GL.7773,TCGA.GL.8500,TCGA.GL.A4EM,TCGA.GL.A59T,TCGA.HE.7128,TCGA.HE.7129,TCGA.HE.A5NF,TCGA.HE.A5NH,TCGA.HE.A5NI,TCGA.HE.A5NL,TCGA.IA.A40X,TCGA.IA.A83V,TCGA.IA.A83W,TCGA.IZ.8195,TCGA.IZ.8196,TCGA.IZ.A6M8,TCGA.IZ.A6M9,TCGA.J7.6720,TCGA.KV.A6GD,TCGA.KV.A6GE,TCGA.KV.A74V,TCGA.MH.A55W,TCGA.MH.A55Z,TCGA.MH.A560,TCGA.MH.A561,TCGA.MH.A562,TCGA.MH.A854,TCGA.MH.A855,TCGA.MH.A856,TCGA.MH.A857,TCGA.O9.A75Z,TCGA.P4.A5E7,TCGA.P4.A5EB,TCGA.P4.A5ED,TCGA.PJ.A5Z8,TCGA.PJ.A5Z9,TCGA.SX.A71R,TCGA.SX.A71S,TCGA.SX.A71U,TCGA.SX.A71V,TCGA.SX.A71W,TCGA.SX.A7SL,TCGA.SX.A7SN,TCGA.SX.A7SO,TCGA.SX.A7SP,TCGA.V9.A7HT,TCGA.Y8.A898
ANPEP,7.627,11.778,14.776,12.08,11.457,7.513,13.777,14.827,12.277,14.161,8.179,14.558,16.027,16.359,10.447,16.05,12.654,12.391,14.298,14.246,13.904,15.133,10.959,12.476,14.524,8.877,12.183,14.296,14.031,11.172,14.413,14.656,15.105,6.915,14.644,7.937,13.289,12.806,10.934,12.977,11.957,11.016,12.998,10.889,15.674,15.247,6.617,13.682,8.54,15.2,13.85,15.656,13.861,12.989,14.727,6.926,15.919,16.763,15.108,14.867,12.395,11.653,12.416,12.583,14.786,14.944,4.061,12.212,12.947,13.076,16.077,11.86,14.88,15.66,16.153,10.762,13.39,14.294,12.746,14.879,15.204,12.435,13.227,13.106,13.892,7.378,11.233,15.019,12.544,15.405,13.421,12.465,14.01,14.163,14.969,10.425,11.297,14.602,10.438,10.838,14.321,14.548,13.498,13.537,13.571,14.563,11.156,13.875,16.48,12.704,13.319,10.235,12.645,13.032,7.611,11.761,8.982,14.347,14.456,9.771,11.665,13.364,10.562,13.282,12.513,12.95,13.765,13.482,12.77,14.75,12.703,13.617
ANXA13,1.01,8.778,5.698,11.083,5.408,2.037,9.936,9.549,8.107,9.692,0.96,10.589,9.268,8.3,10.626,1.861,9.964,9.649,10.482,9.629,9.799,10.078,9.486,11.672,10.268,11.01,11.076,9.39,9.571,11.501,9.751,10.379,10.197,4.604,10.949,0,8.215,10.307,6.323,7.442,9.743,10.035,1.984,8.377,10.781,10.291,2.527,9.111,6.323,9.41,2.77,9.174,7.333,9.879,3.336,0.652,9.357,5.649,10.449,8.755,9.452,9.448,8.743,9.411,4.648,6.519,8.973,8.4,9.891,9.55,9.326,8.036,9.715,9.334,5.442,10.156,10.59,9.205,9.068,10.145,4.832,8.88,7.436,10.949,6.967,7.914,11.427,5.317,9.566,4.207,5.225,10.404,10.222,9.893,8.044,10.745,9.853,9.279,8.665,8.971,2.713,10.283,10.768,9.001,10.796,10.538,9.126,7.305,4.24,10.395,6.035,11.452,9.703,8.035,0.518,9.545,8.97,9.233,1.901,9.873,10.818,10.671,11.228,9.975,10.831,7.319,8.726,8.998,12.775,3.926,3.315,11.163
AOX1,9.032,11.675,12.014,7.465,4.492,6.604,8.393,11.909,9.738,9.974,5.03,13.581,10.971,14.221,8.602,12.282,9.129,11.334,12.254,8.45,9.824,11.637,11.076,8.263,8.709,9.527,10.693,8.099,7.763,3.273,9.711,10.596,12.982,10.198,12.224,6.262,11.14,11.246,9.615,10.868,9.668,12.031,10.648,6.848,13.309,10.183,5.254,8.464,3.929,12.375,10.348,12.85,7.695,5.697,12.053,5.971,10.86,12.802,4.806,10.538,1.886,9.883,10.411,6.386,11.555,10.85,4.839,10.015,10.912,9.213,11.281,7.903,13.051,11.711,9.539,5.67,9.32,9.714,8.539,13.819,9.934,9.981,10.156,10.485,8.941,2.022,10.655,7.859,11.399,9.469,12.258,11.568,10.588,11.571,10.986,6.434,10.569,7.199,8.646,9.193,11.162,8.81,9.886,10.806,12.03,13.703,11.589,11.082,7.465,6.401,9.95,6.964,8.841,5.943,2.904,7.328,5.823,13.4,0.629,8.428,8.393,9.693,3.03,10.898,11.49,11.023,12.78,9.965,7.835,9.675,12.057,10.121
ATHL1,10.571,12.725,13.455,11.764,8.723,5.707,10.61,12.292,9.587,15.306,8.012,12.635,11.008,10.4,12.355,11.946,13.35,14.085,11.473,8.953,14.888,13.748,14.558,14.498,12.542,14.84,8.211,16.649,11.887,13.294,6.359,9.162,13.772,11.899,13.723,11.4,10.8,12.236,14.377,13.766,9.281,11.788,8.549,8.38,5.912,11.389,6.428,6.099,12.69,9.412,10.37,10.958,8.942,6.778,12.603,7.68,9.517,10.382,8.718,12.325,11.027,12.653,11.261,8.617,12.164,9.77,11.776,12.233,13.332,12.894,11.514,8.082,11.507,9.46,12.802,11.915,14.078,9.87,12.742,9.515,9.713,13.592,10.85,13.013,14.19,10.121,12.18,8.276,11.636,10.933,11.936,9.656,9.844,13.821,14.733,9.418,12.134,14.268,7.12,12.247,11.244,15.404,8.411,12.733,15.283,11.789,13.092,14.269,8.394,12.675,14.041,13.072,9.807,14.335,6.106,14.462,13.534,10.582,11.292,9.441,12.757,15.534,12.665,14.012,12.709,13.961,16.132,14.511,8.657,10.47,13.313,12.722
ATP2B2,0,7.332,7.64,1.37,7.464,1.894,5.54,1.025,8.122,7.802,4.677,6.089,8.142,3.66,8.402,1.212,9.004,6.182,7.822,4.925,4.723,4.931,10.148,4.13,4.752,8.284,5.666,5.533,8.924,5.567,2.372,0.994,3.532,8.602,7.592,1.171,7.623,8.485,6.408,2.901,8.602,8.222,3.118,8.573,1.986,5.718,8.397,1.259,6.615,9.984,6.346,7.259,2.034,6.043,2.986,10.595,1.817,6.126,5.373,7.826,2.127,6.504,6.286,4.514,7.787,1.162,0.394,6.347,5.942,2.685,5.588,4.348,8.93,5.283,0.599,2.308,9.88,1.272,5.987,6.879,0.456,9.059,2.773,7.844,2.286,0.907,7.47,6.173,3.876,4.03,9.564,5.952,0.843,8.377,6.306,8.16,1.653,2.245,9.138,6.514,6.328,5.569,2.88,5.824,9.183,6.112,8.548,8.371,7.512,6.594,6.113,2.014,7.094,2.67,2.904,2.657,8.219,1.866,0,5.238,8.604,8.25,2.136,3.105,8.429,7.906,9.42,5.906,2.837,8.28,7.738,6.904
ATP6V0A4,10.447,4.287,1.667,7.284,7.676,3.131,9.7,4.149,5.764,5.514,12.179,7.231,5.522,2.145,9.974,3.709,10.258,7.997,10.174,1.333,7.503,7.58,3.268,3.883,0.743,5.192,6.936,5.052,8.465,6.977,1.258,0.994,2.06,6.372,5.624,2.979,3.019,10.293,7.382,8.992,7.109,6.471,2.66,3.6,0,2.898,11.379,1.392,2.973,0.442,3.194,2.397,3.25,3.992,2.366,15.328,4.817,6.811,1.659,6.092,2.952,2.935,7.614,5.119,5.855,6.5,7.668,8.342,2.022,1.841,6.709,6.339,6.156,9.576,5.165,5.947,0.875,8.87,7.162,3.425,7.373,6.576,6.929,6.304,5.748,1.209,6.501,4.18,7.396,6.841,8.681,5.641,4.382,5.477,4.927,0,7.879,1.521,1.753,7.754,1.008,6.628,9.549,5.186,6.485,1.811,8.214,6.735,1.188,8.278,4.061,8.159,1.152,4.029,12.215,5.056,11.113,2.469,5.618,5.985,9.152,4.463,5.415,8.579,8.868,7.533,0.712,8.612,0,7.702,4.442,8.952
ATP6V0D2,2.475,3.685,2.298,5.133,0,3.787,6.335,3.66,0.579,1.941,9.892,0.466,5.873,4.382,3.96,7.941,5.223,3.832,7.381,1.598,1.976,6.386,3.865,3.346,5.419,3.297,6.922,3.887,4.898,1.339,5.851,8.856,7.06,0.526,6.334,1.809,6.578,4.527,6.983,5.277,0,5.348,6.096,1.98,1.473,7.965,8.791,5.95,2.649,6.08,5.383,6.979,1.553,5.596,2.058,14.336,8.258,6.387,2.676,8.656,1.886,1.168,7.79,2.425,6.022,7.922,1.174,4.103,3.642,0.38,5.44,8.307,3.443,7.66,2.427,4.879,2.117,5.021,1.634,5.155,4.694,4.713,2.645,6.912,2.167,3.15,0.501,8.438,6.589,9.526,3.292,8.097,4.267,6.244,7.32,3.442,6.786,5.882,3.984,0.538,7.16,5.903,5.697,8.419,6.245,5.158,4.206,0.626,4.423,3.618,1.772,5.105,5.397,3.454,11.999,1.154,3.797,4.818,4.251,5.65,3.418,4.112,3.484,5.064,7.346,3.628,0,5.059,0,7.892,8.427,8.061
ATP6V1B1,5.323,1.312,5.374,6.027,2.729,3.471,5.475,2.126,6.268,4.115,12.423,6.136,6.005,6.858,4.071,4.069,6.718,6.944,10.008,5.691,6.41,5.891,7.995,7.569,0.419,3.462,3.797,6.799,4.193,3.834,2.047,1.99,5.683,0.911,5.287,2.046,2.271,8.159,4.097,5.521,4.024,4.307,3.386,5.702,2.187,7.621,7.845,2.814,4.394,5.04,1.735,9.168,1.349,2.307,5.837,13.081,2.661,7.685,5.41,4.245,4.262,5.657,5.722,3.935,5.57,3.074,0.957,5.19,3.959,0.681,7.275,1.823,8.314,8.104,0.826,2.235,1.258,4.541,4.098,8.773,0,9.077,5.147,5.441,3.365,1.209,0.871,4.968,6.636,3.489,2.558,8.438,1.371,8.118,6.019,3.008,3.637,2.855,5.65,1.705,8.001,2.793,4.998,6.898,8.705,9.656,7.51,7.027,3.005,0.503,7.394,5.913,6.151,2.485,13.053,1.787,3.571,4.697,3.364,5.876,6.874,5.811,0.811,5.963,8.517,3.816,2.272,3.706,1.676,5.97,6.748,6.345
AZGP1,6.138,6.766,11.001,6.085,0,6.807,9.962,9.397,8.027,7.642,5.413,13.745,9.339,13.326,10.135,10.592,8.147,10.025,12.231,10.993,10.796,10.542,8.824,10.185,9.211,8.244,10.605,10.382,7.406,7.676,9.132,10.607,8.904,3.226,10.648,6.032,7.177,9.974,7.516,10.124,10.038,9.568,8.661,6.068,9.616,12.899,3.636,1.92,3.826,10.346,9.322,10.1,1.112,6.761,12.055,8.589,7.914,11.769,11.107,10.178,4.044,9.53,7.757,7.757,11.494,8.634,2.733,9.292,9.535,4.366,10.942,7.01,12.213,9.866,9.205,2.571,5.436,3.537,10.291,11.908,5.152,9.771,8.993,9.829,9.609,1.672,8.781,10.068,10.724,9.254,10.749,9.678,7.396,9.709,8.794,6.841,8.087,7.947,9.992,2.684,11.402,6.144,10.217,9.759,11.984,13.096,6.618,9.272,10.175,5.687,11.315,7.682,9.98,3.35,1.448,2.561,1.934,9.883,1.672,7.793,10.142,7.968,4.366,8.992,8.743,9.365,6.179,8.427,9.034,10.931,9.626,9.367
B3GAT1,3.017,3.915,2.298,9.762,1.607,2.77,4.434,7.684,7.291,1.646,2.518,4.994,3.557,1.902,6.033,3.755,3.819,4.748,3.572,5.604,6.775,2.787,6.87,8.293,4.856,5.074,3.417,2.789,8.441,6.829,1.92,4.846,2.73,4.866,6.874,5.424,4.738,4.616,3.569,5.944,0.398,3.138,4.657,6.075,5.325,7.265,4.498,7.473,3.155,5.311,5.213,3.63,8.886,4.6,7.615,1.1,8.501,1.508,8.998,4.224,2.676,6.684,2.617,4.634,5.43,5.56,9.638,8.609,4.247,9.581,3.146,6.767,6.371,6.322,7.957,9.19,2.447,8.695,5.542,7.234,8.306,6.198,2.645,8.131,9.05,10.193,4.805,6.512,6.822,3.829,9.006,5.398,7.476,3.604,1.816,4.124,6.894,8.843,3.812,9.634,1.008,7.688,6.695,5.091,8.526,2.59,7.623,5.733,5.453,8.592,6.846,3.443,5.219,7.651,1.448,7.896,7.455,6.349,8.74,4.932,4.1,5.247,7.132,6.287,7.872,7.206,4.238,5.421,8.668,2.443,8.194,5.167
