gene,TCGA.A4.7287,TCGA.A4.7583,TCGA.A4.7584,TCGA.A4.7734,TCGA.A4.7828,TCGA.A4.7915,TCGA.A4.7996,TCGA.A4.7997,TCGA.A4.8098,TCGA.A4.8311,TCGA.A4.8312,TCGA.A4.8515,TCGA.A4.8517,TCGA.A4.8518,TCGA.A4.8630,TCGA.A4.A48D,TCGA.A4.A4ZT,TCGA.A4.A5DU,TCGA.A4.A5XZ,TCGA.A4.A5Y0,TCGA.A4.A6HP,TCGA.A4.A772,TCGA.AL.3468,TCGA.AL.3471,TCGA.AL.3473,TCGA.AT.A5NU,TCGA.B1.7332,TCGA.B1.A47N,TCGA.B1.A47O,TCGA.B1.A654,TCGA.B1.A655,TCGA.B1.A656,TCGA.B1.A657,TCGA.B3.3926,TCGA.B3.4103,TCGA.B3.4104,TCGA.B3.8121,TCGA.B3.A6W5,TCGA.B9.4113,TCGA.B9.4115,TCGA.B9.7268,TCGA.B9.A5W7,TCGA.B9.A5W8,TCGA.B9.A5W9,TCGA.BQ.5876,TCGA.BQ.5881,TCGA.BQ.5883,TCGA.BQ.5884,TCGA.BQ.5888,TCGA.BQ.5892,TCGA.BQ.7045,TCGA.BQ.7046,TCGA.BQ.7049,TCGA.BQ.7050,TCGA.BQ.7051,TCGA.BQ.7055,TCGA.BQ.7059,TCGA.BQ.7060,TCGA.BQ.7061,TCGA.BQ.7062,TCGA.DW.5560,TCGA.DW.5561,TCGA.DW.7834,TCGA.DW.7836,TCGA.DW.7837,TCGA.DW.7838,TCGA.DW.7839,TCGA.DW.7840,TCGA.DW.7841,TCGA.DW.7842,TCGA.DW.7963,TCGA.DZ.6132,TCGA.DZ.6133,TCGA.DZ.6134,TCGA.DZ.6135,TCGA.EV.5901,TCGA.EV.5902,TCGA.EV.5903,TCGA.F9.A7VF,TCGA.G7.6790,TCGA.G7.6792,TCGA.G7.6795,TCGA.G7.6796,TCGA.G7.7502,TCGA.G7.A4TM,TCGA.GL.7773,TCGA.GL.8500,TCGA.GL.A4EM,TCGA.GL.A59T,TCGA.HE.7128,TCGA.HE.7129,TCGA.HE.A5NF,TCGA.HE.A5NH,TCGA.HE.A5NI,TCGA.HE.A5NL,TCGA.IA.A40X,TCGA.IA.A83V,TCGA.IA.A83W,TCGA.IZ.8195,TCGA.IZ.8196,TCGA.IZ.A6M8,TCGA.IZ.A6M9,TCGA.J7.6720,TCGA.KV.A6GD,TCGA.KV.A6GE,TCGA.KV.A74V,TCGA.MH.A55W,TCGA.MH.A55Z,TCGA.MH.A560,TCGA.MH.A561,TCGA.MH.A562,TCGA.MH.A854,TCGA.MH.A855,TCGA.MH.A856,TCGA.MH.A857,TCGA.O9.A75Z,TCGA.P4.A5E7,TCGA.P4.A5EB,TCGA.P4.A5ED,TCGA.PJ.A5Z8,TCGA.PJ.A5Z9,TCGA.SX.A71R,TCGA.SX.A71S,TCGA.SX.A71U,TCGA.SX.A71V,TCGA.SX.A71W,TCGA.SX.A7SL,TCGA.SX.A7SN,TCGA.SX.A7SO,TCGA.SX.A7SP,TCGA.V9.A7HT,TCGA.Y8.A898
CPNE7,2.185,7.944,9.596,7.821,2.836,2.686,6.62,7.563,8.236,11.491,3.45,7.601,7.883,6.849,7.022,7.312,7.339,10.555,7.854,8.354,7.567,9.201,8.655,6.446,6.938,8.738,2.707,10.549,6.531,8.279,1.627,5.463,10.13,4.438,9.24,4.35,7.862,5.182,7.984,9.088,7.386,9.198,6.408,5.702,0.671,8.002,2.527,2.306,8.683,3.64,7.619,9.467,7.191,6.413,8.323,1.1,7.379,8.528,7.838,8.337,6.711,7.011,8.543,8.581,7.382,7.8,1.528,7.039,9.785,9.636,6.342,4.87,6.743,9.001,8.951,7.38,10.631,7.416,8.539,4.112,7.132,7.391,5.678,6.869,10.148,4.276,5.618,7.116,7.767,6.039,4.29,7.138,3.396,8.164,9.655,3.823,8.08,8.392,5.429,5.009,10.266,12.689,5.686,6.922,10.991,6.603,6.517,8.698,6.219,7.82,9.86,7.671,5.479,7.457,1.846,9.534,7.662,6.739,4.121,7.089,7.321,12.115,7.116,10.122,6.653,7.262,13.052,10.604,5.975,9.568,7.878,9.284
CPS1,6.582,5.735,1.454,4.324,6.355,9.571,4.094,5.54,2.985,1.646,4.281,3.343,1.523,4.928,2.937,4.996,7.889,2.539,3.572,9.009,2.878,5.612,1.511,5.462,2.821,4.086,2.898,3.887,6.825,2.192,6.177,3.512,4.218,9.047,9.666,9.644,4.582,7.685,3.374,3.249,3.843,3.353,8.347,8.524,3.468,4.745,4.279,5.144,5.733,3.939,2.5,4.285,8.89,3.471,2.523,3.422,4.424,3.397,3.346,3.153,3.473,2.855,4.972,2.954,3.286,8.343,3.545,1.359,3.176,8.343,6.342,8.212,5.84,7.456,2.791,3.27,2.291,3.58,3.435,5.829,3.511,3.261,4.944,5.555,1.893,5.271,9.964,5.293,5.465,5.005,3.396,8.275,2.527,4.611,8.258,2.829,5.334,4.431,9.329,1.892,4.77,2.893,3.536,4.091,8.979,7.583,5.52,2.092,0.713,1.417,2.006,5.105,7.683,4.913,6.769,2.913,2.817,5.626,1.901,9.516,4.561,1.81,2.736,4.574,10.86,3.982,4.924,4.496,1.676,5.19,8.477,6.073
CPXM2,10.027,3.685,2.993,6.571,11.263,8.843,5.791,6.619,10.838,5.161,11.48,5.157,3.72,7.282,4.332,5.055,6.238,3.141,4.357,2.475,3.724,5.571,5.789,3.883,7.62,5.876,6.064,6.799,4.966,4.349,2.466,8.745,9.226,8.485,7.011,7.744,8.818,6.062,5.208,4.302,6.02,4.383,11.626,4.367,6.085,5.507,8.194,5.74,6.006,11.564,4.796,6.487,10.079,14.898,6.466,6.626,9.733,4.433,8.183,6.97,3.639,3.342,6.875,8.71,6.962,11.288,2.432,5.868,8.017,5.614,6.643,9,5.957,10.687,1.838,6.765,3.665,10.148,6.777,9.252,8.197,4.382,12.396,6.435,8.42,4.721,4.469,8.825,4.428,6.165,5.968,10.158,5.531,8.158,4.665,3.442,10.632,7.768,6.297,7.607,5.873,5.306,5.612,10.156,9.33,6.452,5.026,4.202,4.985,3.159,8.116,5.779,7.683,7.203,12.745,4.552,5.637,5.69,12.103,8.597,8.688,6.31,3.939,3.105,4.816,7,5.095,6.587,13.235,5.586,5.893,6.382
CP,11.036,3.973,3.84,7.415,16.063,10.875,6.71,8.723,4.657,4.151,2.139,4.962,4.212,5.372,5.172,1.894,3.594,2.704,5.876,1.01,5.784,5.216,5.128,4.069,12.26,4.619,9.81,3.877,8.382,5.262,1.501,5.363,5.078,2.662,5.061,6.373,7.249,2.383,3.469,4.655,2.85,4.682,4.767,4.221,4.363,4.673,5.898,2.777,7.288,12.07,6.265,5.646,13.333,3.34,5.194,1.747,8.217,3.421,3.351,6.138,4.952,2.799,5.17,5.139,4.912,7.779,2.924,4.952,6.543,4.826,6.264,8.933,4.209,7.636,5.783,6.09,4.501,7.939,7.156,5.463,5.278,3.907,6.365,6.385,4.555,10.646,1.242,5.679,6.205,6.031,6.325,5.603,4.818,5.125,5.378,2.418,6.037,12.181,6.775,4.699,4.275,6.88,3.369,8.393,4.267,1.987,4.688,3.67,0,4.832,6.28,7.442,6.121,7.755,2.049,6.214,4.275,5.343,13.94,6.352,3.997,5.069,5.503,3.988,4.945,6.634,4.094,5.096,2.322,3.329,8.868,5.04
CRLF1,8.483,0.455,0,8.488,6.033,2.5,2.581,0.332,2.308,0,0.559,1.336,1.266,2.145,1.169,1.212,3.552,0,0,1.598,3.141,1.03,2.03,0,1.595,3.638,1.508,3.68,4.354,5.403,0.431,1.99,0.769,0,0.922,5.424,4.615,3.45,0.807,2.44,2.679,1.645,0,3.092,0.671,1.284,1.183,1.92,1.368,4.321,1.114,0.962,7.112,0.525,1.369,5.971,1.085,1.791,4.332,0.627,2.127,1.622,3.049,3.095,3.764,3.601,13.012,3.054,1.103,8.438,1.362,3.934,1.505,4.366,2.12,1.161,0,5.464,2.725,0.905,7.755,3.261,2.347,5.015,4.754,7.756,3.609,5.517,2.52,0,0.984,0.894,1.758,1.081,0,0.555,4.955,4.157,0,3.261,1.008,1.312,2.703,6.037,0.529,1.173,3.343,3.195,0.713,2.484,2.208,4.662,3.585,6.717,0,4.945,4.744,0,11.746,3.039,2.899,1.172,4.54,3.34,2.343,5.449,1.829,1.537,3.414,3.486,1.529,2.167
CRTAC1,5.041,1.846,6.779,6.375,8.233,1.735,8.249,6.437,2.793,2.739,3.017,1.1,8.502,6.377,3.881,4.936,6.082,2.811,2.15,2.337,3.828,8.128,2.842,2.481,9.397,1.858,4.817,2.485,8.757,3.781,10.736,8.762,3.575,7.537,7.093,14.642,6.545,5.321,3.657,6.103,4.125,7.821,3.612,5.423,0.671,6.019,8.818,11.871,4.881,4.856,7.503,4.353,13.937,9.728,1.754,10.338,11.28,6.599,6.124,6.063,2.515,1.967,3.877,4.657,4.88,7.668,5.5,4.815,1.721,2.989,7.961,8.745,2.753,8.834,4.19,9.41,6.386,10.002,4.789,3.846,3.31,2.543,3.791,6.67,5.727,12.012,2.11,5.454,5.482,7.052,2.296,4.995,7.136,1.692,7.126,9.197,9.231,11.145,6.219,2.058,7.076,8.805,6.208,8.009,3.165,3.464,0.873,0,5.902,4.276,3.568,9.928,10.265,11.119,0.899,6.479,6.896,2.138,1.066,8.096,3.583,4.213,2.962,7.301,4.695,4.214,1.543,8.136,4.572,4.508,5.799,7.987
CTSE,9.368,10.714,1.205,1.639,5.077,2.037,2.467,2.362,3.984,0,6.07,0,5.478,7.314,0,2.307,0,1.14,1.102,0,0,8.214,1.16,0,8.868,4.935,1.252,4.325,3.562,0.595,5.453,1.314,4.641,0.911,7.399,13.627,2.692,5.723,2.953,0.423,5.992,0.773,7.833,0.408,0.671,4.006,0.71,3.517,7.599,7.487,1.114,5.464,11.075,0,0.481,0,4.901,7.961,0.855,6.198,0.743,1.168,7.143,1.372,8.051,4.88,0.957,2.637,3.809,2.208,2.514,0.398,0.94,7.752,8.052,1.574,2.652,2.485,0,8.474,3.953,2.895,7.048,3.846,2.036,3.285,1.803,2.308,4.497,5.581,2.878,4.313,2.062,1.692,7.305,1.268,2.748,6.402,0,1.236,3.872,1.312,0.51,4.958,7.102,7.967,1.805,3.756,5.991,0,1.491,4.525,0.493,7.962,0.518,0.494,1.385,0.462,2.566,2.397,2.081,1.81,0.811,1.01,2.876,2.624,4.084,1.822,0.525,1.873,4.503,4.26
CUBN,4.063,11.927,11.575,8.006,7.681,5.618,12.97,11.848,9.896,8.649,6.959,13.233,12.286,14.932,10.448,13.508,10,11.301,13.104,11.521,8.347,11.209,12.948,11.753,13.031,9.094,12.149,9.876,7.921,7.636,12.844,11.031,10.231,7.827,12.558,4.985,10.056,11.415,8.667,9.463,12.219,12.212,10.165,10.992,12.352,12.299,4.478,5.689,6.295,14.453,7.494,10.982,6.335,12.629,14.602,4.887,9.689,12.992,13.687,11.746,8.514,10.124,10.396,8.584,10.742,10.972,6.412,9.736,10.444,8.596,11.608,5.892,13.739,12.706,11.84,7.412,10.152,6.757,10.134,13.915,9.866,9.891,12.211,9.966,9.297,5.592,11.333,11.125,9.747,12.369,9.833,10.987,9.38,10.612,10.449,12.461,10.143,9.262,12.056,7.958,9.354,5.584,11.075,11.388,11.71,14.564,10.207,9.866,11.141,7.86,9.989,8.363,10.318,6.967,3.891,6.934,5.515,13.664,7.971,7.972,10.885,10.662,8.412,10.75,10.757,8.478,8.756,8.568,13.436,11.071,10.666,9.6
CWH43,8.781,9.986,4.096,3.465,0,0.473,6.577,0,3.072,4.054,9.944,6.097,7.106,5.246,7.314,4.069,8.776,7.729,7.66,3.661,0,3.639,4.331,9.334,1.425,7.642,7.297,3.44,4.752,3.195,1.031,3.076,8.643,0.526,9.172,0,5.984,6.213,0.459,1.434,9.772,10.095,0,2.202,7.673,7.957,8.724,0.301,0,3.03,6.945,1.534,0,6.108,6.407,12.42,0.642,6.865,5.63,7.488,0.743,3.996,7.207,2.714,5.814,5.4,3.858,1.852,1.103,4.934,5.018,0.398,7.495,5.866,2.356,0.579,6.352,0.772,5.542,5.69,2.347,3.552,0.663,7.949,0.473,0,9.719,0,1.861,3.594,7.574,4.249,1.371,5.989,5.776,11.113,5.199,0.699,0.672,3.119,3.599,7.447,4.629,7.117,9.004,10.088,3.92,1.062,2.069,2.861,0,10.153,6.608,1.341,10.726,0,1.385,6.439,0,0.409,7.567,7.906,6.864,8.436,7.143,2.979,7.768,6.315,2.746,6.4,0.557,7.017
CXCL5,3.719,8.563,6.714,9.633,7.022,2.037,6.985,10.069,5.778,8.583,0.559,7.978,3.819,5.298,8.557,1.861,8.664,7.374,3.64,1.333,5.272,8.909,7.134,0,2.598,4.276,7.063,2.92,6.843,3.981,3.329,3.448,9.523,2.546,7.233,2.249,8.874,8.741,8.61,9.688,3.261,10.415,7.848,4.477,0,5.147,1.372,0.947,9.676,1.053,10.659,5.495,11.332,4.519,2.752,2.62,6.538,4.66,1.232,9.534,5.059,4.525,10.511,6.726,10.043,12.417,1.812,2.861,9.937,0.681,9.395,9.098,6.89,8.678,5.972,8.803,4.145,11.652,4.212,10.707,9.721,4.713,7.888,5.978,8.935,7.833,7.853,3.155,7.545,7.389,8.161,7.342,7.802,8.601,9.624,4.721,6.316,6.325,4.137,4.693,6.867,6.891,8.566,7.547,8.337,7.37,10.265,7.686,1.188,4.938,4.934,3.443,8.108,10.608,0.899,7.197,7.558,2.367,2.81,7.924,5.404,7.137,3.484,9.247,7.992,5.403,5.148,11.631,0.909,6.523,10.688,9.116
CXCL6,6.543,10.243,9.418,8.798,10.212,2.287,10.465,10.162,3.444,10.66,0.559,9.893,7.251,9.405,10.1,7.778,9.084,9.677,8.518,3.339,9.828,11.302,7.781,7.63,2.127,7.295,8.301,9.569,10.086,9.642,5.877,7.021,12.094,8.232,9.494,4.631,11.83,7.873,9.441,11.053,8.645,10.486,11.739,9.214,0.671,6.602,3.211,1.92,11.514,5.583,9.987,8.603,12.659,9.08,8.089,1.948,10.94,9.811,2.676,9,8.354,7.297,12.174,8.696,11.734,12.603,6.469,8.181,10.934,7.442,10.741,12.012,7.844,10.619,7.554,8.912,9.459,10.652,9.556,10.027,9.044,10.109,11.727,10.815,9.701,11.964,7.602,3.609,9.949,10.401,8.179,8.739,10.523,8.507,10.534,3.241,10.201,9.447,1.753,8.651,10.497,11.229,11.626,9.121,8.448,5.844,7.039,9.257,4.334,9.532,10.153,6.163,7.081,10.73,2.985,7.874,9.76,3.277,1.672,13.738,8.942,6.782,7.542,11.03,7.551,10.323,9.423,9.799,4.032,9.294,10.528,11.582
CYP17A1,0.592,6.436,4.48,1.215,0,2.5,4.756,3.923,8.338,2.577,3.017,6.463,7.801,9.902,5.61,9.111,4.369,4.205,7.058,5.572,4.324,5.155,8.718,5.401,4.097,5.903,5.171,3.44,6.147,2.724,8.923,7.202,4.104,8.294,5.737,0.701,3.762,7.602,1.857,2.61,4.54,4.379,2.789,3.81,1.473,9.615,1.905,12.687,1.299,4.925,3.66,6.383,3.601,12.186,5.207,1.79,4.151,10.408,8.1,6.228,3.184,4.07,2.694,3.154,3.875,3.986,2.212,3.642,3.453,2.497,6.422,2.509,6.887,6.894,3.465,0.992,7.127,1.937,4.928,11.026,5.534,4.713,6.477,5.127,2.684,2.919,7.64,7.713,5.339,3.733,5.392,7.215,2.062,5.477,5.178,6.711,6.391,4.697,6.899,2.782,5.796,3.736,4.167,5.172,8.234,9.428,7.768,5.762,8.745,3.607,5.121,4.738,6.666,3.724,3.27,0,2.642,7.25,2.271,4.939,6.091,4.475,1.932,4.226,7.742,5.342,6.408,5.083,13.808,7.742,5.183,5.757
CYP24A1,4.511,5.332,4.236,9.244,5.94,6.224,10.493,11.188,2.308,6.356,3.925,6.213,6.962,9.302,9.27,12.362,6.813,5.389,4.473,9.689,2.971,7.906,6.131,11.858,1.748,7.466,6.368,2.099,10.282,6.446,6.636,9.463,4.813,5.05,11.4,13.858,6.65,2.783,1.087,5.172,8.871,4.876,7.72,6.892,10.141,10.033,2.678,5.553,3.593,2.751,11.649,7.91,13.975,6.383,12.464,2.866,11.268,7.809,10.681,8.168,6.138,3.4,5.813,7.564,2.919,10.431,8.657,9.26,2.272,10.194,8.023,7.559,5.532,8.103,12.697,11.186,10.296,6.22,5.646,6.469,13.373,0.62,7.341,5.535,7.687,13.824,9.362,13.091,5.412,5.133,10.679,5.932,11.365,5.108,4.404,0.956,9.357,11.802,11.969,10.716,6.491,4.444,5.732,8.385,5.771,1.974,2.366,1.667,4.956,12.012,0,11.27,6.901,11.234,1.2,6.798,9.563,9.247,5.032,8.107,7.934,8.032,7.304,7.966,4.644,9.889,6.926,6.587,5.139,8.434,11.148,7.54
CYP4A11,0,0.8,7.15,2.149,2.025,0,3.484,6.926,0.991,2.739,5.702,9.919,6.951,13.652,0.873,6.62,3.819,3.949,5.55,3.477,5.29,9.056,6.428,6.683,9.447,4.258,5.64,6.207,2.758,0.595,0,8.505,3.293,2.651,5.65,2.249,4.796,8.368,2.554,5.543,1.373,6.708,3.466,3.748,1.127,7.189,0.398,3.035,3.067,13.562,3.366,5.192,1.349,4.178,7.236,2.62,7.347,0.387,3.346,7.004,2.515,6.828,7.178,4.008,11.017,5.56,0,6.569,7.533,1.638,6.255,0.398,5.12,4.791,10.354,1.689,2.022,3.075,1.634,11.918,3.075,5.029,12.354,4.03,7.733,0,0,0,5.376,6.311,4.814,1.441,7.153,5.679,5.427,3.502,5.809,6.464,4.037,0.929,0,0.58,5.561,9.728,9.122,12.968,2.936,7.465,2.886,0.876,7.859,5.419,1.945,2.981,0.899,0.861,0.853,7.656,2.919,1.983,3.328,6.441,0.811,5.229,3.194,6.728,3.217,2.06,7.248,6.558,5.658,7.373
CYP4F3,2.824,3.307,5.911,3.597,2.196,6.484,5.761,7.809,6.401,4.115,2.632,6.91,6.492,10.164,6.033,7.716,3.397,1.768,7.309,9.42,2.144,5.186,4.286,7.276,6.678,2.268,1.724,5.052,0.783,0.595,6.616,1.576,4.513,0.911,7.07,8.94,4.851,3.45,2.356,3.765,3.875,3.925,4.787,3.817,8.665,5.507,2.748,1.514,2.973,7.24,1.735,6.182,4.374,1.212,11.156,0.652,6.679,7.773,6.312,5.228,1.231,3.751,2.4,1.372,7.065,4.461,0,3.054,5.391,2.815,6.131,3.21,6.621,5.35,7.022,3.377,2.022,2.656,2.172,6.073,1.314,2.995,4.571,2.781,4.43,3,0.871,5.475,4.24,6.231,0.574,2.62,3.69,5.44,2.125,0.956,4.488,4.98,3.122,0,2.92,2.446,2.135,5.173,4.447,7.295,1.805,2.559,4.696,0.503,2.815,4.147,2.09,3.35,0,0.861,0.853,8.175,0,5.065,3.503,4.596,1.327,4.663,2.876,1.616,2.451,4.788,1.676,4.811,4.562,2.167
CYSLTR2,1.821,11.388,11.484,9.722,9.376,6.139,11.156,3.569,1.573,11.306,3.511,11.125,9.964,3.404,10.206,2.101,2.918,5.601,6.613,2.185,7.142,10.405,4.537,3.346,8.639,9.24,10.001,9.554,8.68,6.266,3.758,2.449,8.244,5.773,10.622,5.094,11.556,9.465,10.718,8.641,10.563,8.332,9.145,8.528,3.216,2.197,3.521,7.744,7.864,7.092,4.378,1.534,4.319,3.778,7.481,4.27,8.576,5.693,3.226,10.887,4.044,9.497,8.42,8.928,10.682,4.488,4.946,2.961,10.673,11.892,7.088,11.293,6.188,7.062,4.017,4.174,1.258,9.385,6.893,3.049,3.01,2.67,2.503,8.21,8.24,2.539,2.676,3.529,5.98,10.101,10.345,2.148,10.519,8.852,9.851,3.724,8.068,2.855,7.352,11.113,6.783,7.269,10.671,3.396,6.335,1.628,10.101,3.971,1.83,8.602,7.464,2.97,7.001,2.67,1.846,6.676,4.43,0.462,0.629,8.446,1.555,8.912,9.271,9.286,4.355,11.159,1.543,8.076,2.026,4.616,5.502,7.009
CYorf15A,0.592,4.732,2.42,0,1.017,0,0,4.881,3.508,3.354,7.818,2.266,3.164,7.713,0,3.889,0,0.68,0,0,4.75,3.994,2.842,2.481,8.467,3.77,0,4.122,0,0,0,4.846,4.951,0,4.627,8.887,0,3.124,4.953,5.159,2.36,3.45,4.588,2.563,3.615,4.927,0,0.301,0,5.008,1.735,3.736,8.241,0,2.664,8.167,5.248,4.006,0,5.185,0,4.07,5.011,4.144,5.08,4.818,0,3.642,6.326,3.043,4.062,5.433,0,5.119,8.276,0.319,1.258,5.184,0,3.147,8.059,2.404,4.255,7.274,4.554,0,2.852,4.507,3.065,6.02,2.366,8.056,3.776,3.14,4.802,0,4.852,5.24,2.663,3.328,3.599,3.444,4.629,6.015,4.476,3.351,4.27,3.431,3.218,8.133,3.708,0,0,8.156,8.463,4.393,0,2.257,6.821,0,0,3.193,1.092,4.305,3.774,3.364,0.712,4.685,7.857,0.53,5.56,4.783
CYorf15B,0,4.848,3.212,0,0,0,0,3.471,3.842,3.251,6.708,2.663,3.307,5.691,0,2.101,0,0,0,0,6.055,5.254,4.038,4.465,7.096,4.535,0,7.21,0,1.014,0,5.327,5.569,0,5.335,9.381,0,3.939,6.415,5.467,0.966,3.017,4.691,2.916,1.986,2.898,0,0,0,3.555,0,3.02,7.548,0.525,1.914,6.558,4.497,4.304,0,5.771,0,5.621,4.246,2.714,4.293,4.818,0,4.551,6.684,2.3,4.707,3.934,0,3.789,6.946,0,1.258,3.986,0.767,1.114,6.427,4.002,4.673,7.665,4.69,0,2.364,3.609,3.314,4.684,1.152,6.99,3.501,3.465,5.427,0,3.794,6.37,2.188,3.328,2.182,5.492,3.369,6.242,5.686,3.804,4.07,4.76,2.069,6.092,5.91,0,0,10.1,7.188,4.625,0,2.367,9.216,0,0,4.958,0.462,4.878,4.113,3.587,3.004,4.974,7.62,0,6.581,5.248
D4S234E,6.794,12.351,2.017,3.241,8.307,6.592,3.75,2.038,3.307,3.139,3.386,3.17,4.041,9.859,2.114,9.687,3.129,1.488,1.443,3.661,2.296,3.111,5.654,3.79,4.969,5.504,2.602,6.27,3.562,1.604,2.047,8.796,4.535,3.417,11.409,10.14,4.444,2.335,2.247,1.605,9.098,9.707,4.876,5.873,2.187,4.927,2.168,2.951,3.238,7.49,1.735,3.736,8.334,2.647,0.672,3.171,3.358,9.834,3.591,6.235,3.383,3.838,4.952,6.693,9.42,3.785,2.983,3.225,5.761,7.723,5.152,3.903,1.721,6.007,8.667,2.075,7.222,4.89,3.526,3.406,6.464,2.787,4.067,6.16,3.786,2.304,8.578,6.795,2.056,2.967,6.768,3.603,2.062,2.12,2.125,2.1,8.312,5.419,3.39,1.705,2.182,4.961,1.431,4.811,6.568,5.736,2.77,3.357,10.62,2.372,2.543,3.104,3.633,3.237,2.157,2.913,2.732,4.259,8.954,4.522,2.081,4.112,2.365,2.186,3.194,4.63,9.011,3.208,3.684,4.195,2.39,4.206
DACT2,4.663,10.262,6.523,9.976,1.342,4.207,7.692,6.92,5.193,7.174,7.391,7.149,8.408,2.534,7.306,5.814,10.032,10.412,8.512,7.219,9.285,9.133,8.729,8.695,0.419,9.479,10.786,9.472,7.877,10.77,1.781,8.613,6.949,7.601,7.741,2.249,7.498,9.224,9.709,7.742,8.823,9.982,5.952,7.202,6.06,6.925,5.798,2.716,1.039,3.03,3.521,5.783,7.387,8.187,8.29,0.652,7.763,1.508,9.38,7.789,10.55,11.321,8.772,9.56,8.782,7.518,8.404,10.271,9.408,9.873,5.923,7.069,9.493,7.567,10.13,9.603,8.145,9.708,8.481,7.801,9.396,9.975,9.233,10.084,10.501,9.689,8.818,5.693,7.413,6.513,6.942,5.972,9.179,9.507,9.023,8.982,7.49,9.084,2.522,9.494,4.569,8.738,8.067,8.626,8.818,9.241,8.548,9.82,1.83,9.225,9.708,9.185,7.979,9.581,4.227,10.238,7.996,8.64,6.828,4.094,10.21,10.19,10.155,8.894,8.035,7.275,6.074,10.079,7.45,5.043,6.317,8.89
DAO,2.924,6.065,7.123,1.37,1.017,0,7.7,7.567,8.287,3.251,2.632,7.646,8.091,9.309,6.308,10.034,7.461,6.958,9.634,7.314,5.801,7.582,8.581,8.889,6.144,3.82,8.282,4.372,6.816,3.348,6.413,8.109,6.505,3.956,7.246,0,3.509,9.287,4.727,4.653,6.807,5.741,8.141,5.26,10.717,8.784,0,7.635,2.973,7.982,3.904,7.505,0.472,6.052,8.087,0,6.606,9.095,8.033,6.866,4.157,6.085,6.539,3.026,7.117,6.57,0,6.624,5.75,1.142,8.271,3.258,7.605,7.595,4.984,0,4.591,3.622,5.254,10.106,3.557,7.129,8.705,9.163,4.481,0.907,7.996,8.174,8.11,7.382,5.419,7.74,5.229,8.466,7.935,5.57,7.027,5.287,5.169,1.49,6.185,1.988,6.781,7.978,8.78,11.258,6.437,6.868,6.768,3.618,6.876,6.389,5.438,2.023,0.518,0.494,1.773,9.833,0,6.831,8.759,7.124,4.107,7.678,8.647,5.764,4.583,4.685,4.773,7.733,7.751,6.945
DCAF12L1,0,6.79,6.714,8.046,7.505,4.295,7.209,7.293,5.459,7.916,4.172,7.29,3.77,6.317,7.719,3.153,9.009,7.342,1.443,7.944,6.788,7.167,6.692,0,6.06,7.531,7.577,6.849,7.823,8.152,0.431,1.99,5.261,0,8.491,0.701,8.406,8.448,6.383,8.168,8.424,3.99,0,8.754,7.495,6.227,7.457,0.301,5.284,9.839,7.494,2.111,5.603,1.212,7.773,0.652,6.308,6.771,8.297,7.632,6.413,6.464,8.564,8.629,7.917,3.696,0.957,6.553,6.635,7.821,6.688,7.272,8.63,4.348,8.253,7.819,8.141,7.864,7.766,8.959,7.105,6.766,6.713,4.689,7.996,6.185,8.974,6.092,8.071,7.86,9.18,6.067,6.945,7.567,6.74,6.03,7.089,7.186,4.821,8.359,3.821,4.961,8.498,2.325,7.756,10.176,8.19,6.785,5.15,6.655,7.445,7.347,8.83,7.651,0.899,7.657,6.344,8.323,4.932,5.393,7.856,5.547,9.127,7.785,8.304,8.656,8.577,8.632,2.923,5.714,8.25,8.084
DCN,12.662,6.972,7.812,11.282,9.796,11.342,7.62,9.679,6.92,8.38,9.067,6.572,7.51,10.173,5.009,8.189,9.435,6.78,7.12,4.573,6.626,9.529,4.717,6.783,7.215,10.95,9.224,11.269,7.653,10.082,6.134,13.235,9.83,10.848,11.699,11.313,9.659,5.294,8.801,8.281,4.598,6.896,8.77,9.387,10.789,10.552,11.521,9.589,7.42,10.152,10.066,8.248,12.479,6.126,5.24,8.38,9.8,9.762,9.971,10.871,9.578,9.024,11.907,11.092,9.875,11.109,5.67,8.073,9.936,9.944,8.417,12.21,7.94,11.975,9.568,11.922,4.19,13.111,3.768,8.402,9.023,7.156,10.485,10.796,10.824,8.738,7.059,11.445,7.248,9.442,1.975,9.295,2.313,8.689,8.816,1.526,12.954,9.512,7.424,9.816,8.217,7.923,12.621,12.204,9.547,8.201,3.752,4.244,9.45,10.664,6.846,9.784,6.729,8.797,9.818,10.731,11.334,6.085,5.148,10.694,9.17,5.097,10.073,7.476,7.461,8.774,5.248,7.211,6.948,9.057,8.564,10.73
